seed,profile,supervised,outcome,success,unsafe_touchdown,aborted,duration_s,final_x_error,final_vx,final_vz,max_risk,mean_risk,interventions,dropouts,architecture
1357624909,clean,False,success,True,False,False,29.3,0.06384533186926138,0.08881191385508193,-0.24416257421171209,0.10676823493250404,0.05923169628702058,0,0,baseline
1357624909,clean,True,success,True,False,False,29.3,0.06384533186926138,0.08881191385508193,-0.24416257421171209,0.10676823493250404,0.05923169628702058,0,0,aegis_v1
1357624909,clean,True,success,True,False,False,29.3,0.06649078200255609,0.0886364935991139,-0.24322301415670763,0.11079493840449509,0.07188482312614504,0,0,aegis_v2
17191594,clean,False,success,True,False,False,24.0,0.0031629068426995846,-0.0971811007899882,-0.2958258438699945,0.17099657920334016,0.06232632006259995,0,0,baseline
17191594,clean,True,success,True,False,False,24.0,0.0031629068426995846,-0.0971811007899882,-0.2958258438699945,0.17099657920334016,0.06232632006259995,0,0,aegis_v1
17191594,clean,True,success,True,False,False,23.950000000000003,0.005931249845603848,-0.10761190084456256,-0.29350796785850614,0.14524259458299457,0.07408691609895118,0,0,aegis_v2
318890903,clean,False,success,True,False,False,25.35,0.08075832397723022,-0.054149698387087934,-0.26956276897935677,0.10248220188169124,0.057755919434835906,0,0,baseline
318890903,clean,True,success,True,False,False,25.35,0.08075832397723022,-0.054149698387087934,-0.26956276897935677,0.10248220188169124,0.057755919434835906,0,0,aegis_v1
318890903,clean,True,success,True,False,False,25.35,0.0832699741197529,-0.054183305322824664,-0.26872072834838984,0.09638086207614653,0.06765113630706597,0,0,aegis_v2
828676467,clean,False,success,True,False,False,26.700000000000003,0.12300316031832574,0.017328117613622622,-0.25883797295525635,0.1743905650018616,0.06202945317791082,0,0,baseline
828676467,clean,True,success,True,False,False,26.700000000000003,0.12300316031832574,0.017328117613622622,-0.25883797295525635,0.1743905650018616,0.06202945317791082,0,0,aegis_v1
828676467,clean,True,success,True,False,False,26.700000000000003,0.12391947669144696,0.0198615533931808,-0.257273246336086,0.15627413402288,0.07527548831342852,0,0,aegis_v2
611780520,clean,False,success,True,False,False,26.05,0.12009208713387914,-0.01214826847853788,-0.27805583122572297,0.18189452720419944,0.06381918172703646,0,0,baseline
611780520,clean,True,success,True,False,False,26.05,0.12009208713387914,-0.01214826847853788,-0.27805583122572297,0.18189452720419944,0.06381918172703646,0,0,aegis_v1
611780520,clean,True,success,True,False,False,26.0,0.12110368258386417,-0.017375695250007733,-0.28154207134527925,0.17290504708290594,0.07415208111825976,0,0,aegis_v2
177211672,clean,False,success,True,False,False,22.5,0.12381960803217959,-0.02338371939781736,-0.29060884016047056,0.21848530710235237,0.0646632684401879,0,0,baseline
177211672,clean,True,success,True,False,False,22.5,0.12381960803217959,-0.02338371939781736,-0.29060884016047056,0.21848530710235237,0.0646632684401879,0,0,aegis_v1
177211672,clean,True,success,True,False,False,22.450000000000003,0.12507891937527882,-0.021490747859936703,-0.2926077698620488,0.1777030571745162,0.07433298485464472,0,0,aegis_v2
1025641959,clean,False,success,True,False,False,25.25,0.10505612436074993,-0.05390384452830827,-0.27641966064640366,0.12628448731440867,0.06121593124427892,0,0,baseline
1025641959,clean,True,success,True,False,False,25.25,0.10505612436074993,-0.05390384452830827,-0.27641966064640366,0.12628448731440867,0.06121593124427892,0,0,aegis_v1
1025641959,clean,True,success,True,False,False,25.25,0.10795579186520016,-0.05317990260894713,-0.27484889463291623,0.11433041384631751,0.07378908736743121,0,0,aegis_v2
1069235513,clean,False,success,True,False,False,22.3,0.1094481321083521,-0.032206702034759616,-0.2871072887340436,0.18704688846884263,0.06509347971445187,0,0,baseline
1069235513,clean,True,success,True,False,False,22.3,0.1094481321083521,-0.032206702034759616,-0.2871072887340436,0.18704688846884263,0.06509347971445187,0,0,aegis_v1
1069235513,clean,True,success,True,False,False,22.3,0.1092328678758728,-0.03338108800237036,-0.28828498377535733,0.16040404181964643,0.07678351857221738,0,0,aegis_v2
1971706720,clean,False,success,True,False,False,28.650000000000002,0.02076352548294515,0.10184982988107551,-0.24706478883123,0.15494376738779983,0.060317919326532465,0,0,baseline
1971706720,clean,True,success,True,False,False,28.650000000000002,0.02076352548294515,0.10184982988107551,-0.24706478883123,0.15494376738779983,0.060317919326532465,0,0,aegis_v1
1971706720,clean,True,success,True,False,False,28.6,0.018366645258197787,0.10278933121870232,-0.24858881170316177,0.13858847236400446,0.07046666188989628,0,0,aegis_v2
963673909,clean,False,success,True,False,False,28.5,0.010149697771969207,0.08392673803193074,-0.2521055314561054,0.209141551952301,0.0645780653965817,0,0,baseline
963673909,clean,True,success,True,False,False,28.5,0.010149697771969207,0.08392673803193074,-0.2521055314561054,0.209141551952301,0.0645780653965817,0,0,aegis_v1
963673909,clean,True,success,True,False,False,28.450000000000003,0.008648097791958985,0.08904849096177696,-0.24929821980962122,0.17632218949975856,0.07494321663719973,0,0,aegis_v2
1467255947,clean,False,success,True,False,False,21.400000000000002,0.11795313440286809,0.026346560355701015,-0.28543964199971206,0.1442827685184776,0.062202204774399555,0,0,baseline
1467255947,clean,True,success,True,False,False,21.400000000000002,0.11795313440286809,0.026346560355701015,-0.28543964199971206,0.1442827685184776,0.062202204774399555,0,0,aegis_v1
1467255947,clean,True,success,True,False,False,21.400000000000002,0.11978255947309943,0.02567132253865637,-0.284836685496533,0.1208069039340436,0.07273685502370092,0,0,aegis_v2
1514895831,clean,False,success,True,False,False,20.3,0.07476231223934891,0.08016687083573218,-0.2692648877518167,0.18280889007361634,0.06660218215790455,0,0,baseline
1514895831,clean,True,success,True,False,False,20.3,0.07476231223934891,0.08016687083573218,-0.2692648877518167,0.18280889007361634,0.06660218215790455,0,0,aegis_v1
1514895831,clean,True,success,True,False,False,20.3,0.07755280996851398,0.07941856514500584,-0.2699838392157772,0.1733999967841819,0.07532306412690738,0,0,aegis_v2
1398957187,clean,False,success,True,False,False,21.5,0.11688864394616202,0.015211245369613232,-0.2895287222497071,0.18913240061877412,0.06511809515630972,0,0,baseline
1398957187,clean,True,success,True,False,False,21.5,0.11688864394616202,0.015211245369613232,-0.2895287222497071,0.18913240061877412,0.06511809515630972,0,0,aegis_v1
1398957187,clean,True,success,True,False,False,21.450000000000003,0.1179414673122539,0.016511809218636063,-0.28730636144075794,0.17269600646181993,0.07599000410269616,0,0,aegis_v2
639495906,clean,False,success,True,False,False,20.900000000000002,0.10305484989713559,0.03845520797273558,-0.2855426419542786,0.1458716759709866,0.06305985510347847,0,0,baseline
639495906,clean,True,success,True,False,False,20.900000000000002,0.10305484989713559,0.03845520797273558,-0.2855426419542786,0.1458716759709866,0.06305985510347847,0,0,aegis_v1
639495906,clean,True,success,True,False,False,20.900000000000002,0.10577251202025811,0.037604644519245896,-0.2858495894081233,0.13460875742173267,0.07295238089060603,0,0,aegis_v2
266734228,clean,False,success,True,False,False,21.0,0.10320425751340075,0.036861673786790214,-0.2740471021052796,0.2181209412062874,0.06950710526659043,0,0,baseline
266734228,clean,True,success,True,False,False,21.0,0.10320425751340075,0.036861673786790214,-0.2740471021052796,0.2181209412062874,0.06950710526659043,0,0,aegis_v1
266734228,clean,True,success,True,False,False,20.950000000000003,0.10380716439409553,0.03889217197723581,-0.2737355596844761,0.1924403823194007,0.07893731819225584,0,0,aegis_v2
1334155763,clean,False,success,True,False,False,29.700000000000003,0.07471663825190085,0.08334885029551135,-0.24245476095911261,0.1400250012222878,0.060755870674127944,0,0,baseline
1334155763,clean,True,success,True,False,False,29.700000000000003,0.07471663825190085,0.08334885029551135,-0.24245476095911261,0.1400250012222878,0.060755870674127944,0,0,aegis_v1
1334155763,clean,True,success,True,False,False,29.650000000000002,0.07267937480692074,0.08296444830736983,-0.24186766456112782,0.14598741503612542,0.07270137693597861,0,0,aegis_v2
1085373862,clean,False,success,True,False,False,20.75,0.10555213596139151,0.07531730688769368,-0.29279964266779973,0.09595368724710263,0.05778453013938984,0,0,baseline
1085373862,clean,True,success,True,False,False,20.75,0.10555213596139151,0.07531730688769368,-0.29279964266779973,0.09595368724710263,0.05778453013938984,0,0,aegis_v1
1085373862,clean,True,success,True,False,False,20.75,0.10865389832981606,0.07395719617805968,-0.29019644254142773,0.09820053668128303,0.06793422882944115,0,0,aegis_v2
1204528608,clean,False,success,True,False,False,22.05,0.11321501240832749,-0.019660796449081,-0.28526277209022216,0.1192690783032441,0.058909811918147,0,0,baseline
1204528608,clean,True,success,True,False,False,22.05,0.11321501240832749,-0.019660796449081,-0.28526277209022216,0.1192690783032441,0.058909811918147,0,0,aegis_v1
1204528608,clean,True,success,True,False,False,22.05,0.11397234505070486,-0.02153941221210043,-0.2858181961906848,0.09960413268861101,0.06862086967013696,0,0,aegis_v2
