frame_index,t_s,frame_sha256,observation_available,truth_center_x_px,truth_center_y_px,truth_target_area_px2,truth_altitude_m,edge_margin_px,equiv_halfside_px,edge_margin_ratio,crop_mean,crop_std,crop_laplacian_var,descriptive_category
27,8.912,5c88ee30fd97a1df00e0ee41519b824d19c463c5fba98afbd814f6acf96a474b,False,504.1410870338424,303.16766511051685,923176.8894999592,0.2930891856527531,303.16766511051685,480.41047279903233,0.6310596506028698,92.61917871315192,88.89269432682661,174.341884451836,truth footprint likely intersects image boundary
28,9.24,6a93142901d14fc7ac8f747b72331ec41ef28efb60ca801245db27b660631bc7,True,595.742758414538,538.5830134772855,157281.992942999,0.6788741692958578,421.4169865227145,198.2939692369633,2.1252133292017414,106.0048384574281,91.04567007672912,471.84602075014783,no single geometric boundary flag from trace
29,9.572,0ad9319f77fc9a988160817370eb41d53eb2e9cfbb27e30c515fc71a6b78a7cc,True,546.9652145260047,700.8041384466333,76969.42924798757,0.9981980692038952,259.19586155336674,138.716824185089,1.868525055097306,110.36082474226804,90.46998268797762,426.12267509813364,no single geometric boundary flag from trace
30,9.9,0ab9bfedb1f05f2952ebdaa7ae378882dec20d5bc2ef4f8a7803c80df0dbc1b6,True,328.13263299934465,590.1055627507734,52590.66873361595,1.2148797014858554,328.13263299934465,114.6632773969242,2.8617063845424906,112.49521484375,91.00076105318311,657.5734732650758,no single geometric boundary flag from trace
32,10.56,74d244a4169850c3826d53efa5eef303e0687835ed262d93561d23b7ad4a82d1,True,324.3748907815536,219.0881425230201,47970.82440299998,1.3216421577271875,219.0881425230201,109.51121449764857,2.0006000620851885,108.8955957110513,91.20481845161608,666.1778268517169,no single geometric boundary flag from trace
33,10.892,4df4cad60696e42195e37105be4a745d12be7534b9ce9bdfb94722f8b471249b,True,690.267590912399,399.4402767160758,29877.423429105314,1.548222901217313,399.4402767160758,86.42543524493428,4.62179074463485,112.26392361111111,90.8749699901815,1291.3226516924067,no single geometric boundary flag from trace
34,11.22,8e70da6f94eec5d7fcc74b6f16abfa8ce4d64fe72f4cad3c83140fc77488b345,True,794.3455126667536,322.1602162491665,34674.514168461435,1.4612962330773482,322.1602162491665,93.10546999030379,3.4601642232482903,114.86958579881657,90.79336366512288,824.2972608082262,no single geometric boundary flag from trace
35,11.552,1d487d50344b37fcdd3f6664de8c70a6b40dc1fbbae610ba63950a9088ed82dd,False,753.2264505932619,2.811388275218349,56593.07930211192,1.2571438422124204,2.811388275218349,118.9464998456364,0.023635737738116266,108.7771801491681,93.19094592488834,649.0084445231131,truth footprint likely intersects image boundary
36,11.88,0dfad597fa88cdbba07bebb194a0cf2018af0314781639c52d4d7849b2abfbcb,False,608.2786696101975,114.62834243497788,42558.1363598419,1.386078833625287,114.62834243497788,103.1481172390484,1.1112984463819515,108.63677594745909,90.56110484371413,1060.6627637783251,near-boundary geometry
37,12.212,bb0e5b708fb78b063cb002b9c866c0770890ff225b68cc0bcaec715e3628b94c,True,848.5600974178587,350.2793776806,37284.06531971309,1.4324211237049689,350.2793776806,96.54541071396544,3.6281307945166947,116.05091906721536,90.26924981475295,1096.2329293138844,no single geometric boundary flag from trace
38,12.54,13f38733fb2debc2ecf06a862f2197a066bd2b426ca092a6284bf246aa07bb86,True,924.4227714045918,653.7157966941647,53191.22277113516,1.242311279597369,306.28420330583526,115.31611202596014,2.6560399750286767,116.19068515875159,89.62459260314546,603.4269249890588,no single geometric boundary flag from trace
39,12.872,b147f83e1217d31350eec6cc1d95de0d06ba6c15469f871f834efb251e3d9b3f,True,547.899040459798,679.3896732008405,49630.52497946797,1.2337690203519849,280.61032679915945,111.3895472872881,2.5191800634168033,117.82007284079084,88.49671245470795,860.9304603718812,no single geometric boundary flag from trace
40,13.2,2cd59485637173d457ed4bf1332b9595c49e25870b8a8d19076dc627aae797d9,True,348.5071457411111,548.7916088231405,66834.74454482802,1.069025558989958,348.5071457411111,129.26208313425482,2.696128186168429,118.53374228395062,89.24777699123953,791.5050810661484,no single geometric boundary flag from trace
41,13.532,21f56d0c8950e4a6dcf91cc4c9be9dc3317953f4dd6f9bdae42034168bf1dbe9,True,216.8836405489485,611.9963970074102,89939.04553245899,0.9558760271557616,216.8836405489485,149.94919600689678,1.446380816466486,113.0955850369726,90.77923534236976,480.84046267226313,no single geometric boundary flag from trace
42,13.86,ae37a3a1f78bf8392870cec15f028c2b7e15eaf71c0eef3cb82a1b161fb2aa45,True,287.1256047806345,570.1305803183952,67149.03724245366,1.0844284902600816,287.1256047806345,129.56565637009453,2.216062595789133,110.20097829736577,91.02767476928808,441.7763346652872,no single geometric boundary flag from trace
43,14.192,1d78df22edafd22312bce269ba230f05e5abf7a70f3c7f962c27e50c0757b5e5,True,443.4007956110594,437.79814805552064,46946.50325397006,1.2483693185291609,437.79814805552064,108.33570885674084,4.041125060938576,110.61940265777817,90.97316021685418,573.517016797028,no single geometric boundary flag from trace
44,14.52,9b0fbafab58202f7f6c521342313c078346764362b592cac4b40035be4d646d0,True,541.9912560919997,317.3921662894825,49254.701913018594,1.2177590087982857,317.3921662894825,110.96700175392074,2.8602391816742783,114.01738813735692,90.83205620476313,577.4580020811654,no single geometric boundary flag from trace
45,14.852,cf0b783e34cffccfe02a35ae80a02f6535d2db1e4bda491a3bdd472e6cd74627,True,573.3704772493555,175.97422795516758,80677.70519143419,0.968627359557458,175.97422795516758,142.01910539733217,1.2390884132303037,108.99647954071547,91.03802537178696,465.6802857114101,near-boundary geometry
46,15.18,2415b35e919f39fa151354cd4aa899f3e721efb806dd7a452b2c04c167f27ffc,False,549.4776261309519,87.95879351342336,134231.70457811074,0.7514085395973098,87.95879351342336,183.18822599863694,0.480155277632733,105.25289267492711,90.1297853275204,388.97354665048283,truth footprint likely intersects image boundary
47,15.512,4ee3ce072f3806863f54fac73342b7d2f70dac44c77c2a9d9f3708645ea3771c,False,526.1525075217415,12.30326211991644,234757.4360174768,0.5642552180637459,12.30326211991644,242.2588677517692,0.05078560068448346,105.84778424896419,90.9807069513964,262.12414553216456,truth footprint likely intersects image boundary
