condition,baseline_recall,phase23_recall,recall_gain,baseline_map50,phase23_map50,map50_gain
clean,0.3837209302325581,0.5930232558139535,0.20930232558139544,0.4266268678118929,0.5551842475528265,0.12855737974093356
blur,0.3776091257554052,0.5697674418604651,0.19215831610505996,0.4125908158023844,0.5856935328390723,0.17310271703668795
low_light,0.3720930232558139,0.4418604651162791,0.06976744186046518,0.4168491381871624,0.4237094746641194,0.006860336476956996
noise,0.397618181914848,0.5465116279069767,0.14889344599212873,0.4325832723899842,0.5962109670974421,0.16362769470745797
occlusion,0.3255813953488372,0.2441860465116279,-0.08139534883720928,0.3479644426407756,0.13755217164117528,-0.2104122709996003
mixed,0.1860465116279069,0.08139534883720931,-0.10465116279069758,0.1848519064761554,0.12942432214764854,-0.05542758432850686
