condition,precision,recall,map50,map50_95
clean,0.7169366595101914,0.5930232558139535,0.5551842475528265,0.222675649160523
blur,0.7767043066419625,0.5697674418604651,0.5856935328390723,0.26072868086794815
low_light,0.6350042374323621,0.4418604651162791,0.4237094746641194,0.1853822097303784
noise,0.8673997411378811,0.5465116279069767,0.5962109670974421,0.2362342942765497
occlusion,0.301165277441983,0.2441860465116279,0.13755217164117528,0.024963801126388796
mixed,0.48680888971219216,0.08139534883720931,0.12942432214764854,0.030013973197337014
