condition,baseline_recall,phase23_recall,recall_delta,baseline_map50,phase23_map50,map50_delta
clean,0.383720930233,0.593023255814,0.209302325581,0.426626867812,0.555184247553,0.128557379741
blur,0.377609125755,0.56976744186,0.192158316105,0.412590815802,0.585693532839,0.173102717037
low_light,0.372093023256,0.441860465116,0.0697674418605,0.416849138187,0.423709474664,0.00686033647696
noise,0.397618181915,0.546511627907,0.148893445992,0.43258327239,0.596210967097,0.163627694707
occlusion,0.325581395349,0.244186046512,-0.0813953488372,0.347964442641,0.137552171641,-0.210412271
mixed,0.186046511628,0.0813953488372,-0.104651162791,0.184851906476,0.129424322148,-0.0554275843285
