condition,frames,x_good_rate,z_good_rate,joint_good_rate,mean_p_x_good,mean_p_z_good,mean_learned_p_z_good,mean_altitude_observability_cap,observability_cap_active_rate,x_ece,z_ece,mean_sharpness
blur,2000,1.0,0.534,0.534,0.9971794612616045,0.5370893787848877,0.5370893787848877,1.0,0.0,0.002820538738395495,0.1022201585076149,0.40192323161820526
clean,2000,1.0,1.0,1.0,0.9925378691902472,0.9518865991819955,0.9535032836270098,0.9974899235887483,0.0425,0.007462130809752776,0.04811340081800436,0.6451756231662956
low_light,2000,1.0,0.9225,0.9225,0.9895026136725459,0.7041342246662233,0.7041342246662233,0.9998523484463969,0.0,0.010497386327454117,0.21836577533377668,0.8264357457528795
mixed,2000,0.957,0.3375,0.3045,0.9550456972437746,0.36334651967561526,0.36334651967561526,0.9954423815034645,0.0,0.013113339866747365,0.13475699044397155,1.0800619552307216
occlusion,2000,0.9945,1.0,0.9945,0.9821650366737726,0.98538103058574,0.9868840306371233,0.9972536811029834,0.0465,0.015415184252580531,0.014618969414259997,0.9916899708526121
