seed,profile,supervised,outcome,success,unsafe_touchdown,aborted,duration_s,final_x_error,final_vx,final_vz,max_risk,mean_risk,interventions,dropouts,architecture,reference_updates,reference_unavailable_steps,mean_normalized_disagreement,max_normalized_disagreement,final_bias_estimate_x,final_bias_confidence,mean_reference_weight
849005493,clean,False,success,True,False,False,22.55,0.11418043479694819,-0.038805799842044866,-0.30167039403991747,0.14964540252344338,0.06322018844533042,0,0,baseline,,,,,,,
849005493,clean,True,success,True,False,False,22.55,0.11418043479694819,-0.038805799842044866,-0.30167039403991747,0.14964540252344338,0.06322018844533042,0,0,aegis_v1,,,,,,,
849005493,clean,True,success,True,False,False,22.55,0.11422331894884799,-0.04066572888663379,-0.3014160341739418,0.1430839502355839,0.07496479941075235,0,0,aegis_v2,,,,,,,
849005493,clean,True,success,True,False,False,22.5,0.11033881094178871,-0.04499100581361738,-0.30065308024130083,0.15187445526561177,0.057245063709561034,2,0,aegis_v3,86.0,0.0,0.6137029558700544,2.9417349784609765,-0.032850491691453876,0.0,0.18806620738163615
341950992,clean,False,success,True,False,False,27.0,0.11814033578488073,0.02325271723465135,-0.263641395443304,0.21401421683588684,0.06511251954429903,0,0,baseline,,,,,,,
341950992,clean,True,success,True,False,False,27.0,0.11814033578488073,0.02325271723465135,-0.263641395443304,0.21401421683588684,0.06511251954429903,0,0,aegis_v1,,,,,,,
341950992,clean,True,success,True,False,False,27.0,0.11791791495882299,0.024190140129936623,-0.26378007707675355,0.18273977060618152,0.07531777773184715,0,0,aegis_v2,,,,,,,
341950992,clean,True,success,True,False,False,27.1,0.11493643232983221,0.03007218637910169,-0.25680496140494685,0.1597885174603621,0.05459775590000702,0,0,aegis_v3,98.0,0.0,0.533277547429025,2.23070947205834,-0.04462215274241696,0.0,0.18266786411583408
973711276,clean,False,success,True,False,False,29.200000000000003,0.03037730520702191,0.08479550865045905,-0.24613569373246574,0.1096524874469534,0.05810596538133268,0,0,baseline,,,,,,,
973711276,clean,True,success,True,False,False,29.200000000000003,0.03037730520702191,0.08479550865045905,-0.24613569373246574,0.1096524874469534,0.05810596538133268,0,0,aegis_v1,,,,,,,
973711276,clean,True,success,True,False,False,29.200000000000003,0.03254452145680773,0.08386000901710931,-0.24472071391823064,0.10359046591068878,0.06991497325256983,0,0,aegis_v2,,,,,,,
973711276,clean,True,success,True,False,False,29.3,0.042311159143571656,0.09702341063482302,-0.24145454072470468,0.1272427643803286,0.048467620505005554,0,0,aegis_v3,100.0,0.0,0.5391211981060398,1.6471052324740587,0.05068584473999809,0.0,0.17614234911879942
208429147,clean,False,success,True,False,False,29.5,0.07021165331238098,0.06461711856190071,-0.23455932500169827,0.17567131192216565,0.062092430874296604,0,0,baseline,,,,,,,
208429147,clean,True,success,True,False,False,29.5,0.07021165331238098,0.06461711856190071,-0.23455932500169827,0.17567131192216565,0.062092430874296604,0,0,aegis_v1,,,,,,,
208429147,clean,True,success,True,False,False,29.5,0.07263071606930334,0.06145917207382881,-0.23493150973986204,0.15989628660594152,0.07421294181348538,0,0,aegis_v2,,,,,,,
208429147,clean,True,success,True,False,False,29.450000000000003,0.05697538457456759,0.04901686662786058,-0.2296675506542339,0.1393833998650184,0.05019963136925901,0,0,aegis_v3,104.0,0.0,0.5070854486533001,2.046644345453969,-0.015746180997447432,0.0,0.18030632310678624
1325667533,clean,False,success,True,False,False,26.25,0.14706558261065875,0.002874509834143164,-0.26317155403956827,0.23317214259686359,0.06789355022996504,0,0,baseline,,,,,,,
1325667533,clean,True,success,True,False,False,26.25,0.14706558261065875,0.002874509834143164,-0.26317155403956827,0.23317214259686359,0.06789355022996504,0,0,aegis_v1,,,,,,,
1325667533,clean,True,success,True,False,False,26.200000000000003,0.14867386076626427,0.002745396414858204,-0.26311824168522735,0.22627232230390185,0.07909093445786186,0,0,aegis_v2,,,,,,,
1325667533,clean,True,success,True,False,False,26.200000000000003,0.13726172296984848,0.01766523782280613,-0.2596076671133841,0.25312563997811294,0.05741917306815917,0,0,aegis_v3,90.0,0.0,0.5144566143583713,1.8857113778160983,0.10174502473234177,0.00038370896873426394,0.1771865445161321
1494611980,clean,False,success,True,False,False,26.700000000000003,0.10176309062964144,0.010721741024767917,-0.2735676019124226,0.10299116406642941,0.05881422896628676,0,0,baseline,,,,,,,
1494611980,clean,True,success,True,False,False,26.700000000000003,0.10176309062964144,0.010721741024767917,-0.2735676019124226,0.10299116406642941,0.05881422896628676,0,0,aegis_v1,,,,,,,
1494611980,clean,True,success,True,False,False,26.650000000000002,0.10228887758824859,0.008423545940621696,-0.27460321179136443,0.09873913282525439,0.0687739373913418,0,0,aegis_v2,,,,,,,
1494611980,clean,True,success,True,False,False,26.55,0.07942352786272043,0.001648748314467274,-0.28042537077995794,0.12262150072574651,0.0511314850099742,1,0,aegis_v3,89.0,10.0,0.5950445785352665,2.5086427500519726,0.13141330413254868,0.022767873175902335,0.1722979893131362
427945999,clean,False,success,True,False,False,21.85,0.14716008245868661,0.007661324714500714,-0.292316259180338,0.2293731212823621,0.06792708085303148,0,0,baseline,,,,,,,
427945999,clean,True,success,True,False,False,21.85,0.14716008245868661,0.007661324714500714,-0.292316259180338,0.2293731212823621,0.06792708085303148,0,0,aegis_v1,,,,,,,
427945999,clean,True,success,True,False,False,21.85,0.14824137903763307,0.006156270358374391,-0.29205780526677666,0.20664697628845302,0.0768534542102893,0,0,aegis_v2,,,,,,,
427945999,clean,True,success,True,False,False,21.900000000000002,0.09818005451020564,-0.007940427728622424,-0.29608681566618955,0.1519763849944915,0.057252925837618145,0,0,aegis_v3,81.0,0.0,0.5145879949623956,2.134706530712108,-0.0916748864881744,0.0,0.1844472165219505
973288064,clean,False,success,True,False,False,25.0,0.059482525586793074,-0.06961417303738891,-0.27773189726277436,0.11693759574221604,0.060421648893870916,0,0,baseline,,,,,,,
973288064,clean,True,success,True,False,False,25.0,0.059482525586793074,-0.06961417303738891,-0.27773189726277436,0.11693759574221604,0.060421648893870916,0,0,aegis_v1,,,,,,,
973288064,clean,True,success,True,False,False,24.950000000000003,0.058738034273301085,-0.0640435530077849,-0.2786825961884319,0.12101901099574035,0.07208824894544089,0,0,aegis_v2,,,,,,,
973288064,clean,True,success,True,False,False,24.950000000000003,0.08350493060124711,-0.041966448325697424,-0.2774855608489682,0.09017122882210528,0.04946144005751082,0,0,aegis_v3,87.0,0.0,0.5396496802210153,1.9229764386396828,-0.013519880657979724,0.0,0.1775323618358569
1619040974,clean,False,success,True,False,False,23.450000000000003,0.05254841850838576,-0.06328060184427,-0.2875598388519348,0.2123643696273923,0.06825241693150032,0,0,baseline,,,,,,,
1619040974,clean,True,success,True,False,False,23.450000000000003,0.05254841850838576,-0.06328060184427,-0.2875598388519348,0.2123643696273923,0.06825241693150032,0,0,aegis_v1,,,,,,,
1619040974,clean,True,success,True,False,False,23.450000000000003,0.050676686783919324,-0.0651549235910586,-0.28586917516280175,0.19504428782695898,0.07924693162068835,0,0,aegis_v2,,,,,,,
1619040974,clean,True,success,True,False,False,23.400000000000002,0.03715524878762087,-0.07040028505248021,-0.28379461033541914,0.17308732660332574,0.06123771642416807,1,0,aegis_v3,84.0,0.0,0.6175731877749695,3.312373462864657,-0.10133170383245822,0.00013802894736326,0.1810506293746499
1800951558,clean,False,success,True,False,False,24.0,0.006483474139211323,-0.0888561017457236,-0.2892925016524438,0.2105333641676037,0.06524612117440586,0,0,baseline,,,,,,,
1800951558,clean,True,success,True,False,False,24.0,0.006483474139211323,-0.0888561017457236,-0.2892925016524438,0.2105333641676037,0.06524612117440586,0,0,aegis_v1,,,,,,,
1800951558,clean,True,success,True,False,False,23.950000000000003,0.008682839679981944,-0.09629620022299236,-0.290912234379272,0.1953303217951215,0.07518906953120645,0,0,aegis_v2,,,,,,,
1800951558,clean,True,success,True,False,False,24.0,0.007367948827829192,-0.09265805742016708,-0.2936710581553421,0.1871010934133899,0.05839472933122848,0,0,aegis_v3,85.0,5.0,0.5982608654408194,2.1498800874366033,0.04242828241539585,0.0,0.18019259056422623
1861156568,clean,False,success,True,False,False,22.05,0.12934228086902336,-0.035902857948855366,-0.28193683173224615,0.11787201035548597,0.057826268910515656,0,0,baseline,,,,,,,
1861156568,clean,True,success,True,False,False,22.05,0.12934228086902336,-0.035902857948855366,-0.28193683173224615,0.11787201035548597,0.057826268910515656,0,0,aegis_v1,,,,,,,
1861156568,clean,True,success,True,False,False,22.0,0.13241729970790753,-0.033730133038358215,-0.28020681946166326,0.09971471534949289,0.06843853769084438,0,0,aegis_v2,,,,,,,
1861156568,clean,True,success,True,False,False,22.0,0.1556874484061945,-0.019324595754683187,-0.2774368435615392,0.11057533401719075,0.050372694837030704,1,0,aegis_v3,78.0,5.0,0.5649541847231858,2.216353350853629,0.0340697378011141,0.0,0.1796494201015611
779456925,clean,False,success,True,False,False,29.6,0.09346734202964779,0.07869914496017368,-0.2422711560879836,0.2077016647329419,0.06349941527450759,0,0,baseline,,,,,,,
779456925,clean,True,success,True,False,False,29.6,0.09346734202964779,0.07869914496017368,-0.2422711560879836,0.2077016647329419,0.06349941527450759,0,0,aegis_v1,,,,,,,
