profile,architecture,episodes,success_rate,success_ci_low,success_ci_high,unsafe_touchdown_rate,unsafe_ci_low,unsafe_ci_high,abort_rate,abort_ci_low,abort_ci_high,timeout_rate,mean_final_x_error,mean_interventions,mean_max_risk,mean_final_bias_estimate_x,mean_final_bias_confidence,mean_normalized_disagreement,mean_reference_weight
blur,aegis_v1,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.07407285685863176,0.23333333333333334,0.6190290741398282,,,,
blur,aegis_v2,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.07479452157746079,0.0,0.3351258169019371,,,,
blur,aegis_v3,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.07549993440925759,0.1,0.22372583561206974,0.07986059125337097,0.015154740141686635,0.5485160981181764,0.1809068318888328
blur,baseline,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.0740459393182654,0.0,0.6190290741398282,,,,
clean,aegis_v1,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.09148551067576483,0.0,0.1607881594795714,,,,
clean,aegis_v2,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.09253117383911749,0.0,0.14950458087207066,,,,
clean,aegis_v3,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.08981468350958832,0.7333333333333333,0.14070259039415295,-0.0015767464465907617,0.0009321207383591424,0.5581849823108967,0.17989030406191972
clean,baseline,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.09148551067576483,0.0,0.1607881594795714,,,,
low_light,aegis_v1,30,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.0,0.0,0.113517091390478,0.16666666666666666,0.07336434240351683,0.33564705185680177,0.0,0.24824055978685716,4.9,0.7788250793959022,,,,
low_light,aegis_v2,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.24196275349248741,0.13333333333333333,0.4432668370659327,,,,
low_light,aegis_v3,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.16010822723577045,0.06666666666666667,0.2843039858744493,0.21291546228742966,0.22875089368427454,0.5904620658852134,0.18031338183646714
low_light,baseline,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.240903494498368,0.0,0.7807167840502914,,,,
mixed,aegis_v1,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0,0.8864829086095221,1.0,0.0,0.625284946202813,122.63333333333334,0.9283678874313709,,,,
mixed,aegis_v2,30,0.16666666666666666,0.07336434240351683,0.33564705185680177,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.0,0.0,0.113517091390478,0.0,0.6052800172238602,50.8,0.6476789029639942,,,,
mixed,aegis_v3,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.14009285946033712,0.0,0.4384051836745674,0.6755970253703905,0.9894206051386587,0.7573090385669732,0.18026799158625753
mixed,baseline,30,0.16666666666666666,0.07336434240351683,0.33564705185680177,0.8333333333333334,0.6643529481431982,0.9266356575964831,0.0,0.0,0.113517091390478,0.0,0.5665293567812097,0.0,0.9283678874313709,,,,
occlusion,aegis_v1,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0,0.8864829086095221,1.0,0.0,0.40000616908999737,96.36666666666666,0.8809562767941621,,,,
occlusion,aegis_v2,30,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.26666666666666666,0.14182495553910618,0.4444830204431169,0.0,0.0,0.113517091390478,0.0,0.3841541835332343,8.833333333333334,0.574036563104842,,,,
occlusion,aegis_v3,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,0.0,0.12665668804684818,0.2,0.3624097019496217,0.4629767318323219,0.8387951112794471,0.7042091228661973,0.17991591658741743
occlusion,baseline,30,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.26666666666666666,0.14182495553910618,0.4444830204431169,0.0,0.0,0.113517091390478,0.0,0.38742055205165726,0.0,0.8809562767941621,,,,
